time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292092560; 1312; 0.900000; 0.050000; 0.050000; "LOST"; -0.768750; 
1292092564; 1313; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292092568; 1314; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092572; 1315; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092576; 1316; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092580; 1317; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092584; 1318; 0.900000; 0.050000; 0.050000; "LOST"; -0.775000; 
1292092588; 1319; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292092964; 1420; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092968; 1421; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092971; 1422; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092975; 1423; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092978; 1424; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292092982; 1425; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092986; 1426; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092989; 1427; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092993; 1428; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292092996; 1429; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292093364; 1530; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093367; 1531; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093371; 1532; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093375; 1533; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093378; 1534; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292093382; 1535; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093386; 1536; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093389; 1537; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093393; 1538; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093396; 1539; 0.900000; 0.050000; 0.050000; "LOST"; -0.762500; 
1292093774; 1640; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292093777; 1641; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093781; 1642; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093785; 1643; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093788; 1644; 0.900000; 0.050000; 0.050000; "LOST"; -0.912500; 
1292093792; 1645; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292093795; 1646; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292093799; 1647; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093803; 1648; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093806; 1649; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094169; 1750; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094173; 1751; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292094176; 1752; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094183; 1753; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292094186; 1754; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292094190; 1755; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094193; 1756; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292094196; 1757; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094200; 1758; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094203; 1759; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094582; 1860; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292094586; 1861; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094589; 1862; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
