time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292095141; 1311; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095144; 1312; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095148; 1313; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292095152; 1314; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095155; 1315; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095159; 1316; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095162; 1317; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095166; 1318; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095169; 1319; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095931; 1530; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095935; 1531; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095939; 1532; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095942; 1533; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292095946; 1534; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095950; 1535; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292095954; 1536; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095957; 1537; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095961; 1538; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292095965; 1539; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096332; 1640; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096335; 1641; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096339; 1642; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096342; 1643; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096346; 1644; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096349; 1645; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292096353; 1646; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096356; 1647; 0.990000; 0.010000; 0.200000; "WON"; 0.250000; 
1292096360; 1648; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096363; 1649; 0.990000; 0.010000; 0.200000; "WON"; 0.250000; 
1292096738; 1750; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292096741; 1751; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096745; 1752; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096749; 1753; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096752; 1754; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096756; 1755; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096759; 1756; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292096763; 1757; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096767; 1758; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292096770; 1759; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097135; 1860; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097139; 1861; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097142; 1862; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097146; 1863; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097149; 1864; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097153; 1865; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097157; 1866; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097160; 1867; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097164; 1868; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097167; 1869; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097535; 1970; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292097538; 1971; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292097542; 1972; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097546; 1973; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097550; 1974; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097553; 1975; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292097557; 1976; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097561; 1977; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292097564; 1978; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292097568; 1979; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098130; 2080; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098133; 2081; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098137; 2082; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098141; 2083; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098144; 2084; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098148; 2085; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098152; 2086; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098155; 2087; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098159; 2088; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098162; 2089; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098533; 2190; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098536; 2191; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098540; 2192; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098543; 2193; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098547; 2194; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098550; 2195; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098554; 2196; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098557; 2197; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098561; 2198; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098564; 2199; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098925; 2300; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098928; 2301; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098932; 2302; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098935; 2303; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
