1292018600; 1864; " 1864,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292018605; 1865; " 1865,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292018609; 1866; " 1866,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018613; 1867; " 1867,  0.99;  0.01;  0.20; WON   0.10"; 
1292018618; 1868; " 1868,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292018622; 1869; " 1869,  0.99;  0.01;  0.20; WON   0.10"; 
1292019052; 1970; " 1970,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292019056; 1971; " 1971,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292019060; 1972; " 1972,  0.99;  0.01;  0.20; WON   0.10"; 
1292019063; 1973; " 1973,  0.99;  0.01;  0.20; WON   0.10"; 
1292019067; 1974; " 1974,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292019071; 1975; " 1975,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292019076; 1976; " 1976,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019080; 1977; " 1977,  0.99;  0.01;  0.20; WON   0.10"; 
1292019084; 1978; " 1978,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292019088; 1979; " 1979,  0.99;  0.01;  0.20; LOST   0.00"; 
1292019505; 2080; " 2080,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019509; 2081; " 2081,  0.99;  0.01;  0.20; WON   0.10"; 
1292019512; 2082; " 2082,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292019516; 2083; " 2083,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292019521; 2084; " 2084,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019525; 2085; " 2085,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292019530; 2086; " 2086,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019533; 2087; " 2087,  0.99;  0.01;  0.20; WON   0.10"; 
1292019538; 2088; " 2088,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292019543; 2089; " 2089,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019993; 2190; " 2190,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292019997; 2191; " 2191,  0.99;  0.01;  0.20; WON   0.10"; 
1292020003; 2192; " 2192,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020008; 2193; " 2193,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292020013; 2194; " 2194,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020016; 2195; " 2195,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292020021; 2196; " 2196,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292020025; 2197; " 2197,  0.99;  0.01;  0.20; WON   0.10"; 
1292020028; 2198; " 2198,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292020037; 2199; " 2199,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020475; 2300; " 2300,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292020479; 2301; " 2301,  0.99;  0.01;  0.20; WON   0.10"; 
1292020484; 2302; " 2302,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292020488; 2303; " 2303,  0.99;  0.01;  0.20; WON   0.10"; 
1292020491; 2304; " 2304,  0.99;  0.01;  0.20; WON   0.10"; 
1292020496; 2305; " 2305,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020500; 2306; " 2306,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292020504; 2307; " 2307,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292020509; 2308; " 2308,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020518; 2309; " 2309,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020936; 2410; " 2410,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292020940; 2411; " 2411,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292020945; 2412; " 2412,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020948; 2413; " 2413,  0.99;  0.01;  0.20; WON   0.10"; 
1292020953; 2414; " 2414,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020957; 2415; " 2415,  0.99;  0.01;  0.20; WON   0.10"; 
1292020962; 2416; " 2416,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020967; 2417; " 2417,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292020971; 2418; " 2418,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292020975; 2419; " 2419,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292021384; 2520; " 2520,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292021388; 2521; " 2521,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292021394; 2522; " 2522,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292021399; 2523; " 2523,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292021405; 2524; " 2524,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292021409; 2525; " 2525,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292021412; 2526; " 2526,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292021417; 2527; " 2527,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292021421; 2528; " 2528,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292021425; 2529; " 2529,  0.99;  0.01;  0.20; WON   0.10"; 
1292021832; 2630; " 2630,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292021837; 2631; " 2631,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292021840; 2632; " 2632,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292021844; 2633; " 2633,  0.99;  0.01;  0.20; WON   0.10"; 
1292021848; 2634; " 2634,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292021852; 2635; " 2635,  0.99;  0.01;  0.20; WON   0.10"; 
1292021856; 2636; " 2636,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292021859; 2637; " 2637,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292021864; 2638; " 2638,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292021868; 2639; " 2639,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292022275; 2740; " 2740,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022278; 2741; " 2741,  0.99;  0.01;  0.20; WON   0.10"; 
1292022283; 2742; " 2742,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022287; 2743; " 2743,  0.99;  0.01;  0.20; WON   0.10"; 
1292022291; 2744; " 2744,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292022295; 2745; " 2745,  0.99;  0.01;  0.20; WON   0.10"; 
1292022298; 2746; " 2746,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292022302; 2747; " 2747,  0.99;  0.01;  0.20; WON   0.10"; 
1292022306; 2748; " 2748,  0.99;  0.01;  0.20; WON   0.10"; 
1292022309; 2749; " 2749,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292022715; 2850; " 2850,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292022720; 2851; " 2851,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292022724; 2852; " 2852,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022729; 2853; " 2853,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022737; 2854; " 2854,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022741; 2855; " 2855,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022745; 2856; " 2856,  0.99;  0.01;  0.20; WON   0.10"; 
1292022750; 2857; " 2857,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022754; 2858; " 2858,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292022758; 2859; " 2859,  0.99;  0.01;  0.20; LOST   0.00"; 
1292023170; 2960; " 2960,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292023178; 2961; " 2961,  0.99;  0.01;  0.20; LOST  -1.00"; 
1292023182; 2962; " 2962,  0.99;  0.01;  0.20; LOST  -1.00"; 
