1292022801;1426;" "" 1426,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022805;1427;" "" 1427,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292022809;1428;" "" 1428,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;;;
1292022812;1429;" "" 1429,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023202;1530;" "" 1530,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023206;1531;" "" 1531,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292023209;1532;" "" 1532,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023213;1533;" "" 1533,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292023217;1534;" "" 1534,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023221;1535;" "" 1535,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023224;1536;" "" 1536,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023228;1537;" "" 1537,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023232;1538;" "" 1538,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023235;1539;" "" 1539,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023622;1640;" "" 1640,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023626;1641;" "" 1641,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023629;1642;" "" 1642,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023633;1643;" "" 1643,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;2;8;0,25
1292023637;1644;" "" 1644,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023641;1645;" "" 1645,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023644;1646;" "" 1646,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023648;1647;" "" 1647,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292023652;1648;" "" 1648,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292023656;1649;" "" 1649,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024047;1750;" "" 1750,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024050;1751;" "" 1751,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024054;1752;" "" 1752,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024059;1753;" "" 1753,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292024063;1754;" "" 1754,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024067;1755;" "" 1755,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024070;1756;" "" 1756,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024074;1757;" "" 1757,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024078;1758;" "" 1758,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024082;1759;" "" 1759,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024461;1860;" "" 1860,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024465;1861;" "" 1861,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024469;1862;" "" 1862,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024472;1863;" "" 1863,  0.99";  0.01;  0.50;" WON   0.10"""; ;3;7;0,428571429
1292024476;1864;" "" 1864,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024480;1865;" "" 1865,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024484;1866;" "" 1866,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024488;1867;" "" 1867,  0.99";  0.01;  0.50;" LOST   0.00"""; ;;;
1292024491;1868;" "" 1868,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024495;1869;" "" 1869,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024874;1970;" "" 1970,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024877;1971;" "" 1971,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024881;1972;" "" 1972,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024885;1973;" "" 1973,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;2;8;0,25
1292024888;1974;" "" 1974,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024892;1975;" "" 1975,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
